,lr_coef,rf_importance
MYL6,0.001545489929548904,5.1965811965812086e-05
CRELD2,-0.0008278709903223858,0.0
YPEL5,-0.004883829790220156,0.0
ERGIC3,0.00011717257815616686,0.0
TUBA1C,0.0015587914339983862,0.0
KDELR2,-0.003369003363505857,0.0
YBX1,0.0010037788076694412,0.0
PCBP1,-0.0024513234599619865,0.0
FAM120A,0.0010957196355362866,0.0
Y16709,0.005982427033546441,0.004616243311798334
CCNI,0.000154950817992182,0.0
PARK7,0.0011853041782309659,0.0
CD59,-4.076565561308894e-05,5.194805194805195e-05
LDHB,0.001465714604322238,0.0
GABARAP,-0.002630662554470843,0.000411625290075801
PFDN5,0.00413901779921207,0.0007871116225546604
COX6C,0.002450987104255987,0.0
CYCS,-0.000946662263696152,0.0
UQCRQ,0.001788908540933069,0.0
SELT,0.002264743276341037,0.0
H1FX,9.650220618627884e-05,0.0
GAS6,0.0007253024860511413,0.0
IFITM1,0.0014502282577055787,0.0
NFKBIA,-0.0015586941082297878,0.0
TXNDC15,-0.0017074051522644074,0.0
OS9,0.002192049906556455,0.0
SRP14,0.0016676682784274742,0.0
COX6A1,0.00219104667001,0.0
CD38,-0.0019460019948194915,0.0
SEL1L3,-0.0026213350451051954,0.0
COX7A2,0.0017426865050467004,0.0
EIF3F,0.004072826155477557,0.0
GANAB,0.001664134276498145,0.0
MORF4L2,-0.002151414201037291,0.0
EIF4B,-0.0013687586432137961,0.00010245764512512906
ACTR3,0.002001306637633553,0.0
REEP5,-6.70730347327695e-05,0.0
ZNF706,-0.0022159833562199207,0.0
LOC101929087,0.0011848854992280676,0.0
SLC25A3,0.0007559435659133298,0.0
BTG1,0.001196081566493175,0.00019547502359764082
EVI2B,0.0008784468371053221,0.0
TRMT112,0.003695270641647388,0.0
ATRAID,0.0033321966853598196,0.0
SET,0.003805185343651648,0.0
PRKD2,0.0012295451022772295,0.0
ARF4,-0.0023243177564632156,0.0
MANF,-0.00037097274253212873,0.0
UQCRH,0.0016455537816956773,0.0
RAB1A,-0.002725184985946227,0.0012986301369863013
CALR,-0.0007017984767316169,0.0
RP11-209A2.1,0.0024061250104666877,0.0
ATP5B,0.0023804198124860003,0.0
PIM2,0.00018754739001905276,0.0
SNRPD2,0.004234131793423664,0.0024816568955601916
ODC1,0.0006226277643560727,0.0
TPD52,0.0016792246192346475,0.0
SLC25A5,0.0006787526171763618,0.0
HSP90AA1,-0.001692004596947977,0.0
EIF3K,0.00393299841326998,0.003169677008392592
NPC2,-0.004213964151950142,0.006714344043797629
IRAK1,0.0010100532360454763,0.0
CIRBP,0.0008075218295297087,0.0
SRPRB,0.001744056287812685,0.0
IL2RG,-0.0010008314668885994,0.0
ISCU,-0.0030191043674621084,0.0
CLIC1,0.004390964138434231,0.00041153049848702007
NCL,0.0007426134807339762,0.0
EIF3C,-3.23226127860855e-05,0.0
YWHAZ,0.002163831955805916,0.0
CDV3,0.0020646506939608384,0.0
ZBTB38,0.0032504918368135008,0.0
SNRPN,0.0021849792961712027,0.0
TMA7,0.005744746068995363,0.004266318523581681
PSMB1,0.0012817059791096995,0.0
MIR636,-0.0019054132925197676,0.0
ICAM3,0.0007052770286349845,0.0
SF3B1,-0.0045238128898805316,0.0
ISG20,-0.00026226305672276987,0.0
