Gene Symbol,log2FC,pval,adj_pval,significant,gran_corr,purity_flag
IGHA1,-1.777970267299354,5.184910321710892e-05,0.003414560095944631,True,0.6811906409032616,True
COMMD3,1.3579602622967357,5.239421138542972e-05,0.0034333771094501647,True,-0.2633820220745999,False
RIT1,-0.6404836542410788,5.3142637900504e-05,0.0034652664920638986,False,,False
NOD2,-1.9778083348376816,5.5299737754120226e-05,0.0035534108186955795,True,0.4640987289920509,False
C19orf24,0.6044961205777106,5.5267638220205056e-05,0.0035534108186955795,False,,False
FBXW4,0.5677071323936769,5.497557388687841e-05,0.0035534108186955795,False,,False
NNAT,1.557745998748513,5.6945961035591416e-05,0.003624008106865979,True,-0.0541824701601058,False
PSMD4,0.6128071507150228,5.692233451262951e-05,0.003624008106865979,False,,False
NELFB,0.7063994891752294,5.748253764737256e-05,0.0036406523963553616,False,,False
ZSCAN9,-0.9184150375303144,5.860387491157254e-05,0.003693997581926122,False,,False
RPL36,0.9540084755895872,5.905027979719646e-05,0.0037044955150497137,False,,False
APCS,1.4411585475659718,5.9383578535367416e-05,0.0037078322126068795,True,-0.2315957414630534,False
PPAN,1.0514025983222384,6.0184836985397e-05,0.003717484281712754,True,-0.4932864904387532,False
CLPP,1.8907646503100617,6.045088407310523e-05,0.003717484281712754,True,-0.5154968763819205,False
HOXA2,1.1136845178118864,6.0661524881011926e-05,0.003717484281712754,True,-0.15379709982480205,False
RPL22,0.46214445060392073,6.014600314944814e-05,0.003717484281712754,False,,False
RPL38,0.5013868042173062,6.23655042641858e-05,0.003804295760115334,False,,False
DUSP2,-1.925750107765591,6.385902910632317e-05,0.003868838234044521,True,0.12724359268731045,False
NRBF2,-0.5111564246856277,6.400812670965854e-05,0.003868838234044521,False,,False
RPL27,0.5662747770633008,6.597123823912658e-05,0.003935341273696589,False,,False
ARMC7,2.0674733532093814,6.600028426083273e-05,0.003935341273696589,True,-0.22917608323371422,False
AEN,1.4276755959712446,6.596609337347319e-05,0.003935341273696589,True,-0.5111242398096942,False
FBLN2,2.020981544361211,6.646269234927123e-05,0.00394514196693858,True,-0.2692479695850702,False
DHX16,0.5036247208555249,6.714086084836031e-05,0.0039676052457577925,False,,False
RP6-11O7.2,0.5205383366575802,7.014395333928518e-05,0.00412664671267608,False,,False
PXDC1,-1.0722713128313721,7.111223010111513e-05,0.004165099955081685,True,0.5654708387425926,True
MRPS18B,0.5727497679234013,7.16244611988922e-05,0.004176621114051701,False,,False
ROBO3,-1.4356001924529345,7.200776135016378e-05,0.004180555864000518,True,0.4869031133350671,False
ROCK1,-0.7203251763424543,7.38548216407163e-05,0.004269066698943937,False,,False
CD180,0.6767240324028965,7.456305962199453e-05,0.004291266174853659,False,,False
ZMYM4,-0.5688865147024558,7.489193883646359e-05,0.004291535040598565,False,,False
RPS10L,0.558209034547696,7.73169933264139e-05,0.00441140103733509,False,,False
WIF1,1.8077032645271713,7.895643564280415e-05,0.0044856066034497785,True,-0.18796375214182262,False
DEGS1,-0.9579119195161763,8.094978398152381e-05,0.004579197822920643,False,,False
CENPC,-0.5586398735404741,8.149805942843213e-05,0.004590594947464494,False,,False
SEPT2,-0.5559574504998359,8.245586003131364e-05,0.004604711928015957,False,,False
ADAP1,-0.6542102267529195,8.264016773804764e-05,0.004604711928015957,False,,False
FRYL,-0.6859304614347099,8.279228215364492e-05,0.004604711928015957,False,,False
APPBP2,-0.615487036377754,8.36820987936965e-05,0.004634727789674313,False,,False
RPL10,0.41327587619211315,8.552267906622863e-05,0.004716932094998618,False,,False
ZMIZ1,-1.1683957906314468,8.759323088262098e-05,0.004811085465532173,True,0.33762456286645304,False
MTUS2,1.4857580533336816,8.956182631597023e-05,0.004898883863407016,True,-0.2307595784774174,False
Igk,-0.9340255858160926,9.171051759778946e-05,0.004995770047086169,False,,False
MARCH6,-0.4922604519138325,9.322159663537509e-05,0.005057271617469099,False,,False
SFT2D3,-1.3069815696820992,9.431645902799813e-05,0.005095783543484127,True,0.17314870360974383,False
